epoch,train_loss,valid_loss,roc_auc_score,roc_auc_score,time
0,0.3161585330963135,0.3176242411136627,[0.83301096 0.58897047 0.76999989 0.68692823 0.69116928 0.7940994
 0.656947   0.65334023 0.63778634 0.74525195 0.81292173 0.71483026
 0.6640514  0.77595782],0.7450660451528517,42:09
1,0.3197062313556671,0.315201997756958,[0.83829689 0.5791157  0.78567404 0.68846743 0.67460617 0.7997709
 0.64676726 0.64259098 0.63748598 0.75948152 0.82465042 0.72223709
 0.66462915 0.78760194],0.751233061970866,42:09
2,0.3195655643939972,0.36074188351631165,[0.83158319 0.57669548 0.78729505 0.68827372 0.6828561  0.8023157
 0.6714549  0.66920333 0.64298449 0.76819231 0.8298785  0.69568762
 0.6662213  0.78903477],0.754100096337235,42:10
3,0.319609671831131,0.3557831048965454,[0.83730198 0.51918521 0.77135309 0.68683043 0.60125921 0.80025351
 0.65730366 0.63640681 0.64063605 0.7438462  0.82604087 0.69323446
 0.64052573 0.77863637],0.7450093024490041,42:15
4,0.3211175203323364,0.4081154465675354,[0.84117752 0.58435015 0.79670382 0.68513035 0.68318036 0.80146227
 0.65322573 0.66857159 0.6457224  0.75426439 0.82826779 0.66627998
 0.64057488 0.79432358],0.7538564841768562,42:15
5,0.3200007379055023,0.4086441099643707,[0.84231348 0.55604938 0.78827883 0.6946494  0.68992735 0.79542389
 0.67137736 0.66684144 0.64179737 0.77624341 0.84102426 0.71363664
 0.64763154 0.80639343],0.760662100807082,42:13
6,0.32654687762260437,0.5152174234390259,[0.84702077 0.58301803 0.79703914 0.69573513 0.68937762 0.80576779
 0.62501133 0.67037856 0.64435895 0.7903831  0.83626393 0.70110046
 0.65524942 0.81971453],0.7648127332723547,42:16
